DESCRIPTION,STOCK #
"3 Pc. Set – 1 ea.: 3/8"", 1/2"", 5/8""",WC66951
"10 Pc. Set – 1 ea.: 1/4"", 3/8"", 1/2"", 5/8"", 3/4"", 7/8"", 1"", 1-3/8"", 1-1/2"", 1-5/8""",WC66952
