STOCK #,SHAPE,DI,H,A,E,. x,A D,LE,S,N,IZ,G,E.1,TH,SINGLE,DOUBLE,DOUBLE CUT,CUT,CUT TiN COATED
,,SJ-1,1/4 x 3/16,B71260A,B71260AD,B71260ADTN,SK-1,1/4 x 1/8,B71321,B71321D,B71321DTN,,,,,,,,
,,SJ-2,5/16 x 5/16,B71305,B71305D,B71305DTN,SK-2,5/16 x 3/16,B71321B,B71321BD,B71321BDTN,,,,,,,,
,,SJ-3,3/8 x 5/16,B71312,B71312D,B71312DTN,SK-3,3/8 x 3/16,B71322,B71322D,B71322DTN,,,,,,,,
,,SJ-5,1/2 x 7/16,B71313,B71313D,B71313DTN,SK-5,1/2 x 1/4,B71323,B71323D,B71323DTN,,,,,,,,
,,SJ-6,5/8 x 9/16,B71314,B71314D,B71314DTN,SK-6,5/8 x 5/16,B71324,B71324D,B71324DTN,,,,,,,,
,,SJ-7,3/4 x 11/16,B71315,B71315D,B71315DTN,SK-7,3/4 x 3/8,B71325,B71325D,B71325DTN,,,,,,,,
,,SJ-9,1 x 15/16,B71316,B71316D,B71316DTN,SK-9,1 x 1/2,B71326,B71326D,B71326DTN,,,,,,,,
