STOCK #,DIA.,LENGTH,LENGTH.1,DIA..1
RB75001,1/4,3/4,2 1/4,
RB75003,3/8,3/4,2 1/4,
RB75005,1/2,3/4,2 1/4,
RB75007,3/4,3/4,2 1/4,
RB75008,1/4,3/4,2-1/2,1/2
RB75009,3/8,3/4,2-1/2,1/2
RB75011,1/2,1-3/16,3,1/2
RB75013,5/8,1-1/8,2-5/8,1/2
RB75015,3/4,1-1/8,2-5/8,1/2
RB75017,1,1-1/8,2-5/8,1/2
