DIA.,DIA..1,LENGTH,UNCOATED,AlTiN COATED
1/4,3/4,2-1/2,SCH91628,SCH91628AL
5/16,13/16,2-1/2,SCH91630,SCH91630AL
3/8,1,2-1/2,SCH91632,SCH91632AL
1/2,1,3,SCH91636,SCH91636AL
5/8,1-1/4,3-1/2,SCH91640,SCH91640AL
3/4,1-1/2,4,SCH91642,SCH91642AL
