Size,Decimal Equiv.,Flute Length,Overall Length,Stock #
*7/16,0.4375,9,12,LB60940
1/2,0.5,9,12,LB60941
9/16,0.5625,9,12,LB60942
5/8,0.625,9,12,LB60943
11/16,0.6875,9,12,LB60944
3/4,0.75,9,12,LB60945
13/16,0.8125,9,12,LB60946
7/8,0.875,9,12,LB60947
1,1,9,12,LB60948
1-1/16,1.0625,9,12,LB60949
1-1/8,1.125,9,12,LB60950
1-1/4,1.25,9,12,LB60951
