BLADE LENGTH x WIDTH x THICKNESS,STOCK #,CONFIGU RATION,INCH ES,MM,TP I,APPLICATION,BOXED,TUBED
3-1/8 x 5/16 x .032,JSC31810,Coarse cut in wood and composition board,79,8,0.8,10,50,5
2-3/4 x 1/4 x .035,JSC23412,"Scroll cutting wood, plywood, plastics . 1/4"" to 1"" thick",70,6,0.9,12,50,5
2-3/4 x 3/16 x .050,JSC23420,"Scroll cutting wood, plywood, plastics",70,5,1.3,20,50,5
