QTY.,SIZES,ALFA USA STOCK #
8 Pc,"Metal Index 9/16"" - 1"" by 1/16ths",SDCO50449A
8 Pc,"Molded Plastic Case 9/16"" - 1"" by 1/16ths",SDCO50449PL
33  Pc,"Metal Stand 1/2"" - 1"" by 1/64ths",SDCO50450
