TIP,SIZE,BLADE SIZE,BLADE LENGTH,OA L,STOCK #,STOCK # w/HANGER
,,,,,SCDSQ18,"Contains 3 each #1 x 9-1/2"" SCD130H"
,,,,,SCDSQ18,"#2 x 9-1/2"" SCD131H"
,,,,,SCDSQ18,"#3 x 9-1/2"" SCD132H"
,,,,,SCDSQ18,"#1 x 11-1/2"" SCD133H"
,,,,,SCDSQ18,"#2 x 11-1/2"" SCD134H"
,,,,,SCDSQ18,"#3 x 12"" SCD135H"
