#,Description,Bit Type
#0 Phillips,MP1501,T10 Torx
#3 Phillips,MP1505,T15 Torx
#1 Phillips,MP1502,T20 Torx
#2 Phillips,MP1506,T25 Torx
#0 Sq. Recess,MP1503,#4 Slotted
#3 Sq. Recess,MP1504,#6 Slotted
