STOCK #,DESCRIPTION,BLADES PER PKG.
DT22110,Zip / Burr “B” Set for “B” Series Blades DEBURRING TOOL,1
DT22109,Complete Zip / Burr “B” Set,1
DT22120,"HSS for steel, aluminum",10
DT22130,HSS for brass & cast iron; can rotate clockwise and counterclockwise.,10
DT22600,Complete Zip / Burr “E” Set,1
DT22135,"HSS; for internal deburring, especially for inaccessible locations.",10
