STOCK #,POINT,SIZE,OAL,PACK,BULK,CARDED,QTy. IN HANG-UP BOX
PSD2-1,Phillips,"1""",25,HSB16091,HSB16091C,2 PER CARD,
P2R2-1,P2-R2 Combo,"1""",25,HSB16095,HSB16095C,2 PER CARD,
