Size x OAL,Apex®,Alfa Tools
"#0 x 1"",950-0X""",HSB15814,
"#1 x 1"",950-1X""",HSB15815,
"#2 x 1"",950-2X""",HSB15816,
"#3 x 1"",950-3X""",HSB15817,
"#1 x 1-15/16"",954-1X""",HSB15872,
"#2 x 1-15/16"",954-2X""",HSB15873,
"#3 x 1-15/16"",954-3X""",HSB15874,
