ITEM,SIZE,STOCK #
Quick-Tac II,2 oz.,QT202
Quick-Tac II,8 oz.,QT208
Quick-Tac IV,2 oz.,QT402
Quick-Tac IV,8 oz.,QT408
Poly Prep,2 oz.,PP102
Remover,2 oz.,AD200
