TyPE SIZES,STOCK #,"6"" ARM",SIZES
INCH SET,HK50160,"6"" ARM","3/32"", 7/64"", 1/8"", 9/64"", 5/32"", 3/16"", 7/32"", 1/4"", 5/16"", 3/8"""
METRIC SET,HK56168,"6"" ARM","MM 2, 2 .5, 3, 4, 5, 6, 8, 10"
