DIA. LENGTH,LENGTH,FINISH,WELD STOCK #
1-5/8,2-13/16,BLACK S TEAM,SWC516
1-13/16,3-1/8,TEMPE RED,SWC38
1-1/4,2-9/16,COBALT,SWC6SMCO
1-9/16,2-7/8,COBALT,SWC8SMCO
1-7/16,3-7/8,COBALT,SWC10SMCO
3/4,1-3/4,STRAW COBALT EURO POINT,SWC8CO
1-3/8,3-3/8,GOLD COBALT EURO POINT,SWC10CO
