TyP E SIZ ES,STOC K #,LONG ARM,SHORT ARM
TT8,"2.99""","0.56""",HK15990
TT9,"3.19""","0.61""",HK15991
TT10,"3.38""","0.66""",HK15992
TT15,"3.57""","0.71""",HK15993
TT20,"3.75""","0.75""",HK15994
TT25,"3.94""","0.80""",HK15995
TT27,"4.13""","0.85""",HK15995A
TT30,"4.50""","0.94""",HK15996
HK10530,,,
,,,
,,,
