CUTTER SHANK LENGTH,DIA.,DIA. OF CUT,OA L,FLUTES,STOCK #
1/2,1/2,1-1/4,3-1/4,4,REM50881
1/2,1/2,2,4,4,REM50882
5/8,5/8,1-5/8,3-3/4,4,REM50883
5/8,5/8,2-1/2,4-5/8,4,REM50884
3/4,3/4,3,5-1/4,4,REM50886
1,1,2,4-1/2,5,REM50888
1-1/4,1-1/4,2,4-1/2,6,REM50890
1-1/2,1-1/4,2,4-1/2,6,REM50892
2,1-1/4,2,4-1/2,8,REM50825
2,2,4,7-3/4,8,REM50828
