BLADE LENGTH x WIDTH x THICKNESS,STOCK #,CONFIGU RATION,INCH ES,MM,TP I,APPLICATION,BOXED,TUBED
4 x 3/8 x .050,JSC438,JSC438T,100,8 .9,x 1.25,Pro g . Clean c u t,50 / BOX,5 / TUBE
4 x 3/8 x .030,JSH4381,JSH4381T,100,9 .2,x 0.8,"Prog . 10 - 18 Sheets, pipes, profiles, including aluminum .",50 / BOX,5 / TUBE
4 x 3/8 x .040,JSH4382,JSH4382T,100,9.2,x 1.0,"Prog . Rough cuts in wood with 6 -10 nails, plastics, pipes / profiles, including aluminum .",50 / BOX,5 / TUBE
