LENGTH,SIZE,BOX,QTY,STOCK #
6,"5/8"" x 1/8""",,12,F65240
8,"13/16"" x 9/64""",,12,F65242
8,,12,F62237,
10,"1"" x 3/16""",,12,F65244
10,,12,F62238,
12,"1-13/64"" x 7/32""",,6,F65245
6,,F65246,,
8,,F65248,,
10,,F65250,,
12,,F65251,,
6,,F65252,,
8,,F65254,,
10,,F65256,,
12,,F65257,,
