CUTTER DIA.," ""CUTTING LENGTH"""," ""OVERALL LENGTH"""," ""BEVEL LENGTH"""," ""SHANK DIA."""," ""STOCK #"""
1, 7/16, 2, 1/4, RB75132,
1-3/8, 5/8, 2-1/4, 3/8, 1/4, RB75134
