CUTTER DIA.," ""CUTTING LENGTH"""," ""OVERALL LENGTH"""," ""DIA."""," ""SHANK DIA."""," ""STOCK #"""
7/8, 11/16, 1-7/8, 3/8, 1/4, RB75124
1, 13/16, 2, 1/4, RB75126,
1, 5/8, 2-1/8, 3/8, 1/2, RB75128
1-3/8, 1-1/16, 2-1/2, 3/4, 1/2, RB75130
