STOCK #,POINT,SIZE,OAL,PACK,QTy. IN HANG-UP BOX
HSB15868,#6-8,"2\"",25""",HSB15868C,,
HSB15869,#8-10,"2\"",25""",HSB15869C,,
HSB15870,#10-12,"2\"",25""",HSB15870C,,
