SET DESCRIPTION,STOCK #,SET DESCRIPTION.1,DOUBLE DO C U U B T LE C
"SA-1, SA-14, SB-1, SC-1, SC-14, SD-1, SE-1, SF-1, SG-1, SH-1, SJ-1, SL-1",8 Pc . Contains one each:,,
"SA-5, SC-5, SD-5, SE-5, SF-5, SG-5, SL-4, SM-5",Contains one each:,,
"SA-1, SA-3, SA-5, SC-1, SC-3, SC-5, SD-3, SD-5, SE-3, SF-1, SF-3, SF-5, SG-1, SG-3, SL-4, SM-1","8 S P e c t . S A C -1 o , n S ta C in - s 1 , o S n D e - e 1 a , c S h E : -1",,
"SA-1, SA-3, SA-5, SC-1, SC-3, SC-5, SD-3, SD-5, SE-3, SF-1, SF-3, SF-5, SG-1, SG-3, SL-4, SM-1",Se t,,
"SF-1, SG-1, SL-1, SM-1",C-6,,
"SF-1, SG-1, SL-1, SM-1",srruB,,
