QTY.,SIZES,ALFA USA STOCK #
5 Pc.,"Handy Roll 9/16"", 5/8"", 3/4"", 7/8"", 1""",SD50448R
8 Pc.,"Molded Plastic Case 9/16"" - 1"" by 1/16ths",SD50449PL
8 Pc.,"Metal Index 9/16"" - 1"" by 1/16ths",SD50449A
33 Pc.,"Metal Stand 1/2"" - 1"" by 1/64ths",SD50450
