STOCK #,DESCRIPTION,BLADES PER PKG.
DT22025,Heavy Duty HSS for steel & aluminum.,10
DT22034,Plastic handle complete w/ 5 blades,1
DT22046,Heavy Duty M42 steel. E-100A Good for plastic & hard materials.,10
DT22030,"Heavy Duty HSS for holes as small as 1/16 dia. in steel and aluminum.""",10
DT22050,Slim-Grip Disposable Burr Box of 10,10
DT22040,Heavy Duty HSS; removes internal and external burrs simultaneously from holes drilled into tubing & sheet metal.,10
