TIP,SIZE,BLADE SIZE,BLADE LENGTH,OA L,STOCK #,STOCK # w/HANGER
,,,,,SCDSL18,"Contains 3 each 3/16 x 6-1/8"" SCD120H"
,,,,,SCDSL18,"1/4 x 7-1/2"" SCD121H"
,,,,,SCDSL18,"1/4 x 9-1/2"" SCD122H"
,,,,,SCDSL18,"5/16 x 10"" SCD123H"
,,,,,SCDSL18,"3/8 x 12-3/8"" SCD124H"
,,,,,SCDSL18,"3/8 x 14-3/8"" SCD125H"
