LENGTH,DESCRIPTION,QTy.,BULK,STOCK #
3-1/2,Heavy Duty,10,HSB66700,HSB66700C
2-1/2,Extra Heavy Duty,10,HSB66701,HSB66701C
3-1/16,Extra Heavy Duty,10,HSB66702,HSB66702C
7-1/2,"long for 1/4\ Hex Inserts""",1,HSB16050,
