SIZE,DECIMAL EQUIV.,FLUTE LENGTH,OVERALL LENGTH,ALFA USA STOCK #
5/16,0.3125, 2-1/2,4, RS51807A
3/8,0.375, 2-1/2,4, RS51815A
7/16,0.4375, 2-1/2,4, RS51823A
1/2,0.5, 2-1/2,4, RS51831A
