CUTTER DIA.," ""CUTTING LENGTH"""," ""OVERALL LENGTH"""," ""RADIUS"""," ""SHANK DIA."""," ""STOCK #"""
1-1/8, 1/2, 2-1/16, 5/32, 1/4, RB75116
1-1/2, 3/4, 2-1/4, 1/4, 1/4, RB75118
1-1/8, 1/2, 2-1/4, 5/32, 1/2, RB75120
1-1/2, 3/4, 2-1/2, 1/4, 1/2, RB75122
