Description,Stock #
"Contains one each: Slotted #3, #4; Phillips #1, #2; Torx T15, T20",HVD06
Ergonomic Handle,
Features,"Ergonomic design for rapid rotation, greater comfort and control."
Precision Tip,Hardened tip and shaft for maximum work load.
