QTY.,SIZES,STOCK #
16 Pc.,"Metal Index 16 Pc. 33/64"" - 3/4"" by 64ths",TS50098
16 Pc.,"Metal Index 16 Pc. 49/64"" - 1"" by 64ths",TS50099
