BLADE LENGTH x WIDTH x THICKNESS,STOCK #,CONFIGU RATION,INCH ES,MM,TP I,APPLICATION,BOXED,TUBED
4 x 5/16 x .050,JSC410R,"Reverse sp linter-free cuts in wood, laminate",100.4,7.2,1.25,10,50,5
3-1 x 1/4 x .035,JSC31412,"S in m s o o o ft t w h o s o c d ro , l p l c ly u w tt o in o g d",82.0,6.0,0.9,12,50,5
