SQUARE DRIvE,INSERT BIT OvERALL,PACK,STOCK #,SIZE,HEX SIZE,LENGTH,QTy.
"1/4""","1/4""","1""",10,SDS050,,,
"3/8""","1/4""","1-1/2""",10,SDS052,,,
"3/8""","5/16""","1-1/2""",10,SDS054,,,
"1/2""","1/4""","1-3/4""",10,SDS056,,,
"1/2""","5/16""","1-3/4""",10,SDS058,,,
