QTY,SIZES,ALFA USA STOCK #
13,"1/16” - 1/4"" by 64ths""",JDLCO93194
15,"1/16” - 1/2"" by 32nds""",JDLCO93193
21,"1/16” - 3/8"" by 64ths""",JDLCO93192
29,"1/16” - 1/2"" by 64ths""",JDLCO93190
