STOCK #," ""LENGTH"""," ""SIZE"""," ""QTY. CUT"""," ""CUT"""," ""CUT"".1"
" ""6\"""""," ""1/2\"""""," ""12"""," ""BASTARD"""," ""SECOND"""," ""SMOOTH"""
" ""8\"""""," ""5/8\"""""," ""12"""," ""BASTARD"""," ""SECOND"""," ""SMOOTH"""
" ""10\"""""," ""3/4\"""""," ""12"""," ""BASTARD"""," ""SECOND"""," ""SMOOTH"""
" ""12\"""""," ""27/32\"""""," ""6"""," ""BASTARD"""," ""SECOND"""," ""SMOOTH"""
" ""8\"""""," ""5/32\"" x 15/16\"""""," ""12"""," ""-"""," ""-"""," ""-"""
" ""10\"""""," ""5/32\"" x 15/16\"""""," ""6"""," ""-"""," ""-"""," ""-"""
