STOCK #,STEEL,NO. OF PIECES,SET INCLUDES
TDS24MC,HIGH CARBON,24,"11 Plug Taps, 11 Adj. 2"" O.D. Round Dies, 1 Die Stock 2"" O.D. and 1 Adj. Tap Wrench"
TDS24MH,HIGH-SPEED,24,"1 Die Stock 2"" O.D. and 1 Adj. Tap Wrench"
