SHA PE,SHANK DIA.,LENGTH,Features
A-CYLINDRICAL,1/4,6,Smaller diameter heads are ideal for small components
A-CYLINDRICAL,3/8,6,"Large diameter heads are suitable for deep applications, such as engine block work"
