DESCRIPTION,STOCK #
32 Pc. Assorted Merchandiser,FWD32
"10"" Bastard Flat",F65003AHP
"10"" Bastard Half Round",F65050HP
"10"" Bastard Round",F65022HP
"10"" Bastard Mill",F65089HP
"10"" Smooth Knife",F65086HP
"8"" Bastard Three Square",F65036HP
"10"" Bastard Wood Rasp",F65137HP
"10"" Farmers own handy file",F65191AHP
