STOCK #,BORE,HEX,FLUTE,OA L,TUBED
AUG61308,3/8,5/16,12,18,
AUG61309,1/2,5/16,12,18,
AUG61311,9/16,7/16,12,18,
AUG61316,5/8,7/16,12,18,
AUG61321,11/16,7/16,12,18,
AUG61326,3/4,7/16,12,18,
AUG61331,13/16,7/16,12,18,
AUG61336,7/8,7/16,12,18,
AUG61341,15/16,7/16,12,18,
AUG61346,1,7/16,12,18,
AUG61351,1-1/8,7/16,12,18,
AUG61356,1-1/4,7/16,12,18,
AUG61361,1-3/8,7/16,12,18,
AUG61366,1-1/2,7/16,12,18,
