TIP,SIZE,BLADE SIZE,BLADE LENGTH,OA L,STOCK #,STOCK # w/HANGER
#1,1/4,6,9-1/2,SCD130,SCD130H,
#2,1/4,6,9-1/2,SCD131,SCD131H,
#3,5/16,6,9-1/2,SCD132,SCD132H,
#1,1/4,8,11-1/2,SCD133,SCD133H,
#2,1/4,8,11-1/2,SCD134,SCD134H,
#3,5/16,8,12,SCD135,SCD135H,
