SIZE,DRILL DIA.,DEPTH,OAL,THREAD,STOCK #
"1\"",9\""""","9\"",5/8\"" - 11""",CBL1651,,,
"1-1/4\"",9\""""","9\"",5/8\"" - 11""",CBL1652,,,
"1-1/2\"",9\""""","9\"",5/8\"" - 11""",CBL1653,,,
"1-3/4\"",9\""""","9\"",5/8\"" - 11""",CBL1654,,,
"2\"",9\""""","9\"",5/8\"" - 11""",CBL1655,,,
