SERIES ITEM,SHEAR STRENGTH,TEMP RANGE,CURE SPEED,LOCTITE REFERENCE
Small Screw,Low Strength,-65 to 350OF,10 min,222
TL 22 Thread,800 psi,-65 to 350OF,10 min,222
Removable, ,-65 to 350O F,10 min,242
TL43 Thread,1200 psi,-60 to 350O F,10 min,243
Permanent,3000 psi,-65 to 350O F,10 min,262
TL71 Sealant,2900 psi,-65 to 350OF,10 min,271
Wicking Grade,780 psi,-60 to 350OF,10 min,290
