DESCRIPTION,WEIGHT,STOCK #
"Holds NC/NF sizes in taper, plug and bottoming chamfer Master Tap Dispenser",50 lbs,DIHTM13580
"Fractional sizes 1/4""-20 to 1""-14",50 lbs,DIHTM13580
