QTY.,SIZES,ALFA USA STOCK #
13 Pc.,"1/16” - 1/4"" by 64ths""",SM50294
29 Pc.,"1/16” - 1/2"" by 64ths""",SM50290
26 Pc.,Letter Sizes A - Z,SM50297
60 Pc.,Wire Gage #1 - #60,SM50291
