STOCK #," ""LENGTH"""," ""SIZE"""," ""QTY. CUT"""," ""CUT"""," ""CUT"".1"
" ""6\"""""," ""5/8\"" x 5/32\"""""," ""12"""," ""BASTARD"""," ""SECOND"""," ""SMOOTH"""
" ""6\"""""," ""21/32\"" x 5/32\"""""," ""12"""," ""BASTARD"""," ""SECOND"""," ""SMOOTH"""
" ""8\"""""," ""27/32\"" x 3/16\"""""," ""12"""," ""BASTARD"""," ""SECOND"""," ""SMOOTH"""
" ""8\"""""," ""3/4\"" x 7/32\"""""," ""12"""," ""BASTARD"""," ""SECOND"""," ""SMOOTH"""
" ""10\"""""," ""1-1/32\"" x 1/4\"""""," ""12"""," ""BASTARD"""," ""SECOND"""," ""SMOOTH"""
" ""10\"""""," ""15/16\"" x 9/32\"""""," ""12"""," ""BASTARD"""," ""SECOND"""," ""SMOOTH"""
" ""12\"""""," ""1-1/8\"" x 11/32\"""""," ""6"""," ""BASTARD"""," ""SECOND"""," ""SMOOTH"""
" ""14\"""""," ""1-5/16\"" x 13/32\"""""," ""6"""," ""BASTARD"""," ""SECOND"""," ""SMOOTH"""
