HOLE SIZE DIA. (MM),SHANK OVERALL LENGTH,STOCK #,FAMAG
8,3-1/2,FBM61450,
8,3-1/2,FBM61451,
8,3-1/2,FBM61452,
8,3-1/2,FBM61453,
8,3-1/2,FBM61454,
8,3-1/2,FBM61455,
8,3-1/2,FBM61456,
10,3-1/2,FBM61457,
10,3-1/2,FBM61458,
10,3-1/2,FBM61459,
10,3-1/2,FBM61460,
10,3-1/2,FBM61461,
10,3-1/2,FBM61462,
10,3-1/2,FBM61463,
10,3-1/2,FBM61464,
10,3-1/2,FBM61465,
10,3-1/2,FBM61466,
10,3-1/2,FBM61467,
10,3-1/2,FBM61468,
10,3-1/2,FBM61469,
