Drill Size,Brand,Stock #,Coating/Point,Finish Angle
"1/16-1/2"" by 64ths""",HSS BULLET PILOT POINT,RS50186BD,-,-
"1/16-1/2"" by 64ths""",HSS BLITZ BITS,BB74199,Black & Gold,135O Split Pt.
"1/16-1/2"" by 64ths""",HIGH-SPEED STEEL,J150199,Black Oxide,118O Point
"1/16-1/2"" by 64ths""",HIGH-SPEED STEEL,J150199B,Bright Finish,118O Point
"1/16-1/2"" by 64ths""",HIGH-SPEED STEEL,S150199,Black Oxide,135O Split Pt.
"1/16-1/2"" by 64ths""",HIGH-SPEED STEEL,S150199B,Bright Finish,135O Split Pt.
"1/16-1/2"" by 64ths""",HSS TiN COATED,J250199,-,-
"1/16-1/2"" by 64ths""",HSS TiN COATED,S250199,-,-
"1/16-1/2"" by 64ths""",COBALT,CO50199,Straw Gold,135O Split Pt.
