DIA.," ""STOCK #"""," ""SIZE"""," ""HOLE"""," ""LENGTH"""," ""WIDTH"""," ""RPM"""," ""BOX"""
4%," ""WB67159SS"""," ""4\"""""," ""5/8\""-11"""," ""3/4\"""""," ""1/2\"""""," ""15000"""," ""1"""
"4\"", WB67160"""," ""4\"""""," ""5/8\""-11"""," ""3/4\"""""," ""1/2\"""""," ""15000"""," ""1""",
"6\"", WB67161"""," ""6\"""""," ""5/8\""-11"""," ""3/8\"""""," ""1/2\"""""," ""9000"""," ""1""",
