QTY.,SIZES,ALFA USA STOCK #
13 Pc.,"1/16\ - 1/4\"" by 64ths""",BBN74594
15 Pc.,"1/16\ - 1/2\"" by 32nds""",BBN74593
21 Pc.,"1/16\ - 3/8\"" by 64ths""",BBN74592
29 Pc.,"1/16\ - 1/2\"" by 64ths""",BBN74590
29 Pc.,"Drill Mug 1/16\ - 1/2\"" by 64ths""",BBN74590DM
