PIECES,DESCRIPTION,STOCK #,PER SET
5,"220 Grit, 5-1/2"" OAL",F65197,
5,"220 Grit, 5-1/2"" OAL",F65199,
10,"220 Grit, 5-1/2"" OAL",F65198,
2,"1/8"" Shank",F65199,
