SIZE,STEEL (RPM),STAINLESS (RPM),Qty.,Size,Stock #,Qty..1,Size.1,Stock #.1
1," ""9/16\"""""," ""700-1000"""," ""300-700"""," ""1"""," ""1-1/8\"""""," ""CHC74359""",,
"7/8\"", 500-800"""," ""200-450"""," ""1"""," ""1-1/4\"""""," ""CHC74361""",,,,
"1-1/4\"", 300-600"""," ""175-315"""," ""1"""," ""1-3/8\"""""," ""CHC74363""",,,,
"1-5/8\"", 200-500"""," ""120-225"""," ""1"""," ""1-1/2\"""""," ""CHC74365""",,,,
"2-1/16\"", 200-400"""," ""95-195"""," ""1"""," ""1-5/8\"""""," ""CHC74367""",,,,
"2-7/16\"", 150-300"""," ""80-150"""," ""1"""," ""1-3/4\"""""," ""CHC74369""",,,,
"2-7/16\"", 150-300"""," ""80-150"""," ""1"""," ""1-7/8\"""""," ""CHC74371""",,,,
