SIZE,CAPACITY,STOCK #,MOUNT,KEY #,SIZE.1,MIN.,MAX.,JACOBS,LFA
1/16,0 .062,3/8,0.375,3/8-24,KG1,JC30247,LFA42086,,
—,—,—,—,—,—,LFA53211,,,
5/64,0 .078,1/2,0.500,3/8-24,KK,JC30598,LFA42204,,
5/64,0 .078,1/2,0.500,1/2-20,KK,JC30602,LFA42208,,
