SIZE,QTY.,WEIGHT,CASE,CASE CARDED,COUNTER DISPLAY
1 oz.,24.0,3 lbs.,TF7001,TF7001C,TF7024
4 oz.,12.0,4 lbs.,TF7004,,
16 oz.,12.0,13 lbs.,TF7016,,
1 gal.,4.0,33 lbs.,TF7028,,
5 gal.,2.0,42 lbs.,TF7640,,
Spritzer,12.0,4 lbs.,TF7041,,
(Note: There is only one table in the provided page text.),,,,,
