STOCK #,NO. OF,SIZE,SHANK,STYLE,OAL,STEPS,RANGE,PACK,CARDED PACK,CARDED PACK.1
MBML13,"1/8\ - 1/2\""""",AH,"1/4\ Hex""","3\"",in 1/32nds""",13,MBML13C,MBML13TN,MBML13TNC,MBMLCO13,MBMLCO13C
MBML6,"3/16\ - 1/2\""""",BH,"1/4\ Hex""","3-1/4\"",in 1/16ths""",6,MBML6C,MBML6TN,MBML6TNC,MBMLCO6,MBMLCO6C
MBML9,"1/4\ - 3/4\""""",CH,"1/4\ Hex""","2-13/16\"",in 1/16ths""",9,MBML9C,MBML9TN,MBML9TNC,MBMLCO9,MBMLCO9C
MBML12,"3/16\ - 7/8\""""",KH,"1/4\ Hex""","3\"",in 1/16ths""",12,MBML12C,MBML12TN,MBML12TNC,––,––
