DIA.,OAL,OF TEETH,STOCK #
"1-3/4""","4""",6,HDCD73050
"2""","4""",6,HDCD73051
"2-5/8""","4""",6,HDCD73052
"3-1/8""","4""",8,HDCD73053
"3-1/2""","4""",8,HDCD73054
"4""","4""",11,HDCD73055
"5""","4""",11,HDCD73056
