INSIDE,OUTSIDE,STOCK #
1,2,DS1601
1,3,DS1602
1,4,DS1603
1,5,DS1603A
2,3,DS1604
2,4,DS1605
2,5,DS1606
3,4,DS1607
3,5,DS1608
4,5,DS1609
4,6,DS1610
5,6,DS1611
4,4,DS1664
5,4,DS1665
1,5,DS1665A
4,5,DS1667
5,5,DS1668
5,6,DS1671
