Unnamed: 0,BODY DIA.,SHANK DIA.,STOCK #,82O,Unnamed: 5
,3/8,"1/4\ Hex""",C5F50561,C5F50561C,82O Angle
,1/2,"1/4\ Hex""",C5F50562,C5F50562C,
,5/8,"1/4\ Hex""",C5F50563,C5F50563C,
,3/4,"1/4\ Hex""",C5F50564,C5F50564C,
