-,-.1,TH65033
Unified 60°,"5 1 Blades included: 4, 4-1/2, 5, 5 -1/2, 6, 7, 8, 9, 10, 11, 11 -1/2, 12, 13, 14, 15, 16, 18, 20, 22, 24, 26, 27, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82 & 84",-
Unified 60°,"28 Blades included: 4, 4-1/2, 5, 6, 7, 8, 9, 10, 11, 11-1/2, 12, 13, 14, 16, 18, 20, 24, 27, 28, 32, 36, 40, 44, 48, 56, 64, 72 & 80",-
Unified 60°,"22 Blades included: 9, 10, 11, 11-1/2, 12, 13, 14, 15, 16, 18, 20, 22, 24, 26, 27, 28, 30, 32, 34, 36, 38 & 40",-
