STOCK #,BOX,LENGTH,SIZE,QTY.,CUT,CUT.1,CUT.2
"6\"",5/8\"" x 5/32\""""",12,F65001,,,,,
"8\"",13/16\"" x 7/32\""""",12,F65002,,,,,
"10\"",1\"" x 1/4\""""",12,F65003,,,,,
"12\"",1-3/16\"" x 9/32\""""",6,F65004,,,,,
"6\"",5/8\"" x 5/32\""""",12,F65001DC,," """""," """"",,
"8\"",13/16\"" x 7/32\""""",12,F65002DC,," """""," """"",,
"10\"",1 \"" x 1/4\""""",12,F65003DC,," """""," """"",,
"12\"",1-3/16\"" x 9/32\""""",6,F65004DC,," """""," """"",,
