Drill Size,Brand,Stock #,Coating/Point,Finish Angle
"1/16-1/2"" by 64ths""",HIGH-SPEED STEEL,J150189,Black Oxide,118O Point
"1/16-1/2"" by 64ths""",HIGH-SPEED STEEL,J150189B,Bright Finish,118O Point
"1/16-1/2"" by 64ths""",HIGH-SPEED STEEL,S150190PL,Black Oxide,135O Split Pt.
"1/16-1/2"" by 64ths""",HIGH-SPEED STEEL,S150190BPL,Bright Finish,135O Split Pt.
