STOCK #,SIZE,FRACTIONAL,STI DRILL DECIMAL,EQUIV.
STNPT66591,"1/8"" - 27 Q",0.332,-,-
STNPT66592,"1/4"" - 18",0.4375,7/16,-
STNPT66593,"3/8"" - 18",0.5625,9/16,-
STNPT66594,"1/2"" - 14",0.7031,45/64,-
STNPT66595,"3/4"" - 14",0.9062,29/32,-
STNPT66596,"1"" - 11-1/2",1.1406,1-9/64,-
