Size,Length,Overall Length,Part Number,Part Number with Hanger
"3/16""","3""","6-1/2""",SCD170,SCD170H
"1/4""","4""","8""",SCD173,SCD173H
"3/16""","3""","6-1/2""",SCD171,SCD171H
"1/4""","4""","8""",SCD174,SCD174H
"3/16""","3""","6-1/2""",SCD172,SCD172H
"1/4""","4""","8""",SCD175,SCD175H
