Qty.,Sizes,Alfa USA Stock #
13 Pc.,1/16 - 1/4 by 64ths,BBML74294
15 Pc.,1/16 - 1/2 by 32nds,BBML74293
21 Pc.,1/16 - 3/8 by 64ths,BBML74292
29 Pc.,1/16 - 1/2 by 64ths,BBML74290
29 Pc.,Drill Mug 1/16 - 1/2 by 64ths,BBML74290DM
