DIA.," ""STOCK #"""," ""SIZE"""," ""HOLE"""," ""WIDTH"""," ""LENGTH"""," ""KNOTS"""," ""RPM"""," ""BOX"""
"4-1/2\"", WB67196"""," ""4-1/2\"""""," ""5/8\""-11"""," ""2\"""""," ""1/4\"""""," ""36"""," ""9000"""," ""1""",
"6\"", WB67197"""," ""6\"""""," ""5/8\""-11"""," ""1-3/8\"""""," ""1/4\"""""," ""56"""," ""9000"""," ""1""",
"6-7/8\"", WB67200"""," ""6-7/8\"""""," ""5/8\""-11"""," ""1-3/8\"""""," ""1/4\"""""," ""76"""," ""9000"""," ""1""",
